question_id,category,method,question,answer,route,keyword_hit_count,required_keyword_target,evidence_supported,hallucinated,used_cache
Q028,planning_and_story,RAG-only,"If we want a strong presentation story, what key beats should we cover?","Direct Answer:
To create a strong presentation story, cover the real-world problem, the AI-based approach, findings, and contributions.

Key Points:
- Highlight the real-world problem
- Explain the AI-based approach
- Present the findings
- Discuss the contributions
Evidence Used:
- The presentation should highlight the real-world problem, the AI-based approach, findings, and contributions. (Evidence [1], [3])
- Students should be prepared to answer questions regarding the problem, solution, and overall project insights. (Evidence [1], [3])",rag,4,5,1,1,0
Q028,planning_and_story,LLM-only,"If we want a strong presentation story, what key beats should we cover?","To create a strong presentation story, you should cover the following key beats:

1. **Introduction**: Introduce the topic, the problem, or the opportunity, and state the purpose of your presentation.
2. **Background**: Provide context and background information that is necessary for understanding the story.
3. **Problem or Opportunity**: Clearly articulate the problem or opportunity you are addressing.
4. **Solution or Approach**: Describe the solution, approach, or strategy you are proposing.
5. **Evidence or Support**: Offer data, examples, or testimonials to support your claims.
6. **Implementation**: Explain how the solution or approach will be implemented.
7. **Impact or Benefits**: Discuss the expected outcomes, benefits, or impact of your solution.
8. **Conclusion**: Summarize the main points and reinforce the importance of your presentation's message.
9. **Call to Action**: End with a clear call to action, if applicable.",llm-only,0,5,0,1,0
Q035,unsupported,Keyword Search,Can the documents tell us the exact six-person role split we must use?,"Keyword baseline retrieved this evidence: Identify a real-world problem that can be effectively addressed using artificial intelligence techniques. The solution must go beyond software development and demonstrate integration of multiple AI paradigms such as logic, structural knowledge representation, ",keyword,0,1,0,1,0
Q035,unsupported,RAG-only,Can the documents tell us the exact six-person role split we must use?,"Direct Answer:
The documents do not specify the exact six-person role split for the group assignment.

Key Points:
- The maximum group size is six students.
- Individual contributions will be assessed separately.
Evidence Used:
- Evidence [1] states the maximum group size.
- Evidence [3] indicates individual contributions will be assessed separately.",rag,0,1,0,1,0
Q036,unsupported,Keyword Search,Can the documents provide a day-by-day plan from 8 May 2026 to the report deadline?,"Keyword baseline retrieved this evidence: Introduction. Clearly define the real-world problem the group aims to address. Explain its real-world significance and impact, identify key challenges and constraints, clearly state project objectives and scope, and explain the benefits of an effective solutio",keyword,0,1,0,1,0
Q036,unsupported,Proposed Hybrid System,Can the documents provide a day-by-day plan from 8 May 2026 to the report deadline?,"Direct Answer: The documents do not provide a day-by-day plan from 8 May 2026 to the report deadline.

Action Plan:
1. Review the official course documents for any additional information regarding the daily schedule or specific tasks leading up to the report deadline.
2. Consult with the group members to compile a timeline based on the information provided about the due dates for the report and presentation.
3. Use the project planning document as a guide to ensure all necessary components of the report are addressed before the deadline.

Evidence Used:
- The official assessment brief states the report is due on 16 May 2026 (Evidence [1], [2]).
- The project planning document suggests considering the limitations and ethical risks of using AI for assignment support, which could be relevant for the report (Evidence [4]).",rag,0,1,0,1,0
Q036,unsupported,RAG-only,Can the documents provide a day-by-day plan from 8 May 2026 to the report deadline?,"Direct Answer: The documents do not provide a day-by-day plan from 8 May 2026 to the report deadline.

Action Plan:
1. Review the official course documents for any additional information on the report preparation schedule.
2. Consult with the group members to establish a daily plan leading up to the report deadline.
3. Use the project planning document as a guide for workflow and team coordination.

Evidence Used:
- The official assessment brief states the report is due on 16 May 2026 (Evidence [1], [2]).
- The project planning document suggests questions that could help in planning but does not provide a day-by-day plan (Evidence [4]).",rag,0,1,0,1,0
Q037,unsupported,Keyword Search,Can the assistant guarantee a High Distinction if we follow its advice?,"Keyword baseline retrieved this evidence: Introduction. Clearly define the real-world problem the group aims to address. Explain its real-world significance and impact, identify key challenges and constraints, clearly state project objectives and scope, and explain the benefits of an effective solutio",keyword,0,1,0,1,0
Q037,unsupported,RAG-only,Can the assistant guarantee a High Distinction if we follow its advice?,"Direct Answer: The assistant cannot guarantee a High Distinction; it can only provide advice that aligns with the criteria for achieving one.

Key Points:
- Meeting the criteria for a High Distinction requires a clear and deep understanding of the AI method, its relevance to a real-world problem, and its theoretical justification.
- The assistant's advice must be aligned with the specific requirements outlined in the assessment brief.

Evidence Used:
- The evidence provided details the specific criteria for achieving a High Distinction in the AI Method Explanation and Justification, Content and Relevance, Findings, Contributions, and Limitations, and Theoretical Justification sections of the assessment.",rag,0,1,0,1,0
Q037,unsupported,LLM-only,Can the assistant guarantee a High Distinction if we follow its advice?,"The assistant cannot guarantee a High Distinction, as academic success depends on various factors beyond the advice provided, including individual effort, understanding, and external circumstances. However, following the assistant's advice can contribute positively to achieving a high grade.",llm-only,0,1,0,1,0
Q038,unsupported,Keyword Search,Can the assistant replace official course guidance or write the whole assignment for us?,"Keyword baseline retrieved this evidence: The project aims to develop an AI-powered academic document assistant that helps students understand complex assignment documents, rubrics, templates and presentation requirements.",keyword,0,1,0,1,0
Q038,unsupported,RAG-only,Can the assistant replace official course guidance or write the whole assignment for us?,"Direct Answer:
The assistant cannot replace official course guidance or write the whole assignment for you.

Key Points:
- The project is designed to assist students in understanding complex assignment documents, not to replace official course guidance or write assignments.
- Individual contributions are to be documented and assessed separately, indicating the need for personal involvement in the assignment process.
Evidence Used:
- The project goal is to help students understand complex assignment documents, not to replace them (Evidence [1]).
- The task overview specifies that individual contributions must be documented, emphasizing personal involvement (Evidence [3]).",rag,0,1,0,1,0
Q039,unsupported,Keyword Search,Will the tutor definitely approve a late submission if we email them?,"Keyword baseline retrieved this evidence: Similarity checks on the report will be done by Turnitin. Multiple submissions are allowed. The maximum allowed similarity score is 20%, including quoted material and excluding references. Marks may be lost if the similarity score is higher than 20%.",keyword,0,1,0,1,0
Q039,unsupported,Proposed Hybrid System,Will the tutor definitely approve a late submission if we email them?,"Direct Answer:
The tutor will not definitely approve a late submission just by email. Extensions must be requested through the Assignment Extension tool in Canvas and involve all group members' unanimous agreement.

Key Points:
- Extensions must be requested through the Assignment Extension tool in Canvas.
- All group members must agree on the need for an extension.
Evidence Used:
- Evidence [1] indicates that extensions must be requested through the Assignment Extension tool and involve all group members.
- Evidence [3] provides the due dates for the report and presentation, which are separate from the extension process.",rag,0,1,0,1,0
Q039,unsupported,RAG-only,Will the tutor definitely approve a late submission if we email them?,"Direct Answer:
The tutor will not definitely approve a late submission just by email. Extensions must be requested through the Assignment Extension tool in Canvas and involve all group members' unanimous agreement.

Key Points:
- Extensions must be requested through the Assignment Extension tool.
- All group members must agree on the need for an extension.
Evidence Used:
- Evidence [1] indicates the process for requesting an extension.
- Evidence [3] provides the due date for the report submission.",rag,0,1,0,1,0
Q039,unsupported,LLM-only,Will the tutor definitely approve a late submission if we email them?,"No, a tutor cannot guarantee approval for a late submission just by email. The decision typically depends on the specific policies of the institution and the circumstances surrounding the late submission. It's important to follow the institution's guidelines and communicate with the tutor as soon as possible to discuss the possibility of an extension or late submission.",llm-only,0,1,0,1,0
Q040,unsupported,Keyword Search,Can we ignore the similarity rules if the prototype works well?,"Keyword baseline retrieved this evidence: HD: Provides a rigorous, well-structured explanation of AI methods with strong theoretical foundations such as search, probabilistic reasoning, multi-layer networks, reinforcement learning, GenAI, or LLMs. Demonstrates deep understanding and clearly justifies ",keyword,0,1,0,1,0
Q040,unsupported,RAG-only,Can we ignore the similarity rules if the prototype works well?,"Direct Answer: No, we cannot ignore the similarity rules even if the prototype works well.

Key Points:
- The official assessment brief explicitly states that similarity checks will be done by Turnitin, and the maximum allowed similarity score is 20%.
- The theoretical justification for AI methods must be rigorous and well-structured, with strong theoretical foundations and clear justification using relevant academic literature.

Evidence Used:
- [1] official source=assessment_brief.txt section=Similarity Checks
- [4] official source=assessment_brief.txt section=Report Rubric: Theoretical Justification",rag,0,1,0,1,0
